frame,id,x,y,z,vis,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8
0,0,0.5727889537811279,0.3482237458229065,-0.21420413255691528,0.999990701675415,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,1,0.567248523235321,0.33331742882728577,-0.17897552251815796,0.9999788999557495,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,2,0.566916286945343,0.3327591121196747,-0.17906516790390015,0.9999806880950928,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,3,0.566289484500885,0.33202072978019714,-0.1791512668132782,0.9999747276306152,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,4,0.5626547336578369,0.3335740566253662,-0.22307513654232025,0.9999821186065674,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,5,0.5587881803512573,0.3333164155483246,-0.2231469303369522,0.9999828338623047,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,6,0.5545667409896851,0.33322206139564514,-0.22304673492908478,0.999970555305481,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,7,0.5479196906089783,0.33718597888946533,-0.029897842556238174,0.9999756813049316,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,8,0.531947910785675,0.34034663438796997,-0.23374703526496887,0.9999794960021973,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,9,0.5699096322059631,0.3644736707210541,-0.16138677299022675,0.9999339580535889,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,10,0.5630974173545837,0.3662644624710083,-0.2203451544046402,0.9999504089355469,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,11,0.5892142653465271,0.42476823925971985,0.03108348697423935,0.999941349029541,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,12,0.4481053948402405,0.42581138014793396,-0.25018173456192017,0.999843955039978,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,13,0.7112648487091064,0.42875251173973083,0.04391393065452576,0.9964966177940369,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,14,0.33258628845214844,0.4489196836948395,-0.3234921991825104,0.9967607855796814,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,15,0.7993149161338806,0.4208899736404419,-0.09849940985441208,0.9968896508216858,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,16,0.230776846408844,0.453758180141449,-0.41538146138191223,0.9929712414741516,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,17,0.82709801197052,0.41858598589897156,-0.12517006695270538,0.9872063398361206,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,18,0.195198655128479,0.4546228051185608,-0.4507255554199219,0.9816827774047852,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,19,0.8289169073104858,0.4148818850517273,-0.17662127315998077,0.9896418452262878,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,20,0.1932249367237091,0.4519999921321869,-0.4918806850910187,0.9840450286865234,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,21,0.8178808689117432,0.41660076379776,-0.13136406242847443,0.991104245185852,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,22,0.20609194040298462,0.4530216455459595,-0.43931952118873596,0.9809337258338928,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,23,0.5534502267837524,0.6442151069641113,0.08127963542938232,0.999466598033905,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,24,0.46566352248191833,0.6446895003318787,-0.08125653862953186,0.9989674091339111,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
0,25,0.7094967365264893,0.6534804105758667,-0.11109579354524612,0.9975372552871704,171.40886606074434,173.02751319180504,83.27430429230418,97.38659508929138,122.698418099555,84.14164349377162,176.1145826692965,94.68069608723107
